date,PM2.5
2016/06/10,9
2016/06/11,10
2016/06/12,2
2016/06/13,11
2016/06/14,6
2016/06/15,18
2016/06/16,15
2016/06/17,5
2016/06/18,18
2016/06/19,9
2016/06/20,19
2016/06/21,9
2016/06/22,15
2016/06/23,25
2016/06/24,24
2016/06/25,11
2016/06/26,15
2016/06/27,23
2016/06/28,31
2016/06/29,20
2016/06/30,10
2016/07/01,8
2016/07/02,18
2016/07/03,5
2016/07/04,8
2016/07/05,19
2016/07/06,14
2016/07/07,10
2016/07/08,3
2016/07/09,7
2016/07/10,13
2016/07/11,10
2016/07/12,6
2016/07/13,8
2016/07/14,29
2016/07/15,23
2016/07/16,22
2016/07/17,20
2016/07/18,12
2016/07/19,17
2016/07/20,18
2016/07/21,15
2016/07/22,29
2016/07/23,29
2016/07/24,30
2016/07/25,25
2016/07/26,36
2016/07/27,14
2016/07/28,15
2016/07/29,48
2016/07/30,30
2016/07/31,15
2016/08/01,14
2016/08/02,18
2016/08/03,21
2016/08/04,18
2016/08/05,22
2016/08/06,45
2016/08/07,12
2016/08/08,11
2016/08/09,10
2016/08/10,22
2016/08/11,13
2016/08/12,10
2016/08/13,6
2016/08/14,16
2016/08/15,18
2016/08/16,25
2016/08/17,24
2016/08/18,1
2016/08/19,23
2016/08/20,20
2016/08/21,32
2016/08/22,28
2016/08/23,34
2016/08/24,25
2016/08/25,25
2016/08/26,17
2016/08/27,11
2016/08/28,26
2016/08/29,31
2016/08/30,27
2016/08/31,42
2016/09/01,43
2016/09/02,17
2016/09/03,19
2016/09/04,21
2016/09/05,9
2016/09/06,21
2016/09/07,5
2016/09/08,15
2016/09/09,12
2016/09/11,24
2016/09/12,20
2016/09/13,17
2016/09/14,5
2016/09/15,11
2016/09/16,7
2016/09/19,20
2016/09/20,16
2016/09/21,5
2016/09/22,8
2016/09/23,20
2016/09/24,11
2016/09/25,19
2016/09/26,1
2016/09/27,4
2016/09/28,16
2016/09/29,32
2016/09/30,24
2016/10/01,17
2016/10/02,13
2016/10/03,18
2016/10/04,23
2016/10/05,21
2016/10/06,11
2016/10/07,4
2016/10/08,14
2016/10/09,1
2016/10/10,1
2016/10/11,8
2016/10/12,1
2016/10/13,8
2016/10/14,20
2016/10/15,1
2016/10/16,1
2016/10/17,2
2016/10/18,7
2016/10/19,1
2016/10/20,7
2016/10/21,23
2016/10/22,17
2016/10/23,9
2016/10/24,10
2016/10/25,36
2016/10/26,42
2016/10/27,57
2016/10/28,49
2016/10/29,16
2016/10/30,8
2016/10/31,18
2016/11/01,9
2016/11/02,3
2016/11/03,4
2016/11/04,13
2016/11/05,37
2016/11/06,8
2016/11/07,1
2016/11/08,14
2016/11/09,8
2016/11/10,1
2016/11/11,7
2016/11/12,28
2016/11/13,21
2016/11/14,51
2016/11/15,26
2016/11/16,13
2016/11/17,15
2016/11/18,24
2016/11/19,25
2016/11/20,10
2016/11/21,5
2016/11/22,6
2016/11/23,7
2016/11/24,11
2016/11/25,5
2016/11/26,42
2016/11/27,16
2016/11/28,20
2016/11/29,17
2016/11/30,10
2016/12/02,23
2016/12/03,8
2016/12/04,18
2016/12/05,19
2016/12/06,52
2016/12/07,1
2016/12/08,9
2016/12/09,16
2016/12/10,25
2016/12/11,17
2016/12/12,32
2016/12/13,24
2016/12/14,3
2016/12/15,36
2016/12/16,28
2016/12/17,10
2016/12/18,16
2016/12/19,23
2016/12/20,7
2016/12/21,36
2016/12/22,11
2016/12/23,35
2016/12/24,15
2016/12/25,11
2016/12/26,43
2016/12/27,4
2016/12/28,10
2016/12/29,19
2016/12/30,11
2016/12/31,6
