date,data
2002/10/28,"[0.0933523922764228, 0.072784, 0.101946, 0, 0, 0.144416, 0, 0, 0, 0, 0, 0, 0, 0, 0.237938, 0, 0, 0.278387, 0, 0, 0.327208, 0.346845, 3.589269, 0, 0, 0, 0, 0, 0, 0, 1.510417, 1.146358, 1.561863, 1.545047, 0.863814, 1.122678, 0.0, 1.0]"
2002/10/30,"[0.0933523922764228, 0.098477, 0.134314, 0, 0, 0.187126, 0, 0, 0, 0, 0, 0, 0, 0, 0.303356, 0, 0, 0.351286, 0, 0, 0.411904, 0.430485, 4.614304, 0, 0, 0, 0, 0, 0, 0, 1.448544, 1.101262, 1.501121, 1.485487, 0.802325, 1.122678, 0.0, 1.0]"
2002/11/03,"[0.0933523922764228, 0.291353, 0.375487, 0, 0, 0.547974, 0, 0, 0, 0, 0, 0, 0, 0, 0.807753, 0, 0, 0.932904, 0, 0, 0.6333750661686236, 0.6794867085620182, 1.976601, 0, 0, 0, 0, 0, 0, 0, 1.36659, 0.95119, 1.277717, 1.390397, 1.026563747863247, 1.122678, 0.0, 3.0]"
2002/11/05,"[0.0933523922764228, 0.082039, 0.093313, 0, 0, 0.119249, 0, 0, 0, 0, 0, 0, 0, 0, 0.181552, 0, 0, 0.218258, 0, 0, 0.263638, 0.291635, 1.965527, 0, 0, 0, 0, 0, 0, 0, 1.2676, 1.348283, 1.420429, 1.217389, 1.171213, 1.122678, 0.0, 22.0]"
2002/11/06,"[0.0933523922764228, 0.069732, 0.078026, 0, 0, 0.095781, 0, 0, 0, 0, 0, 0, 0, 0, 0.142296, 0, 0, 0.166065, 0, 0, 0.199137, 0.224826, 2.908231, 0, 0, 0, 0, 0, 0, 0, 1.117464, 1.064089, 1.273112, 1.082842, 0.80766, 1.122678, 0.0, 18.0]"
2002/11/09,"[0.0933523922764228, 0.0994, 0.12178, 0, 0, 0.173688, 0, 0, 0, 0, 0, 0, 0, 0, 0.275898, 0, 0, 0.331602, 0, 0, 0.399572, 0.444028, 1.165665, 0, 0, 0, 0, 0, 0, 0, 1.485334, 1.33257, 1.522032, 1.489024, 1.224279, 1.122678, 0.0, 3.0]"
2002/11/10,"[0.0933523922764228, 0.234439, 0.297386, 0, 0, 0.430851, 0, 0, 0, 0, 0, 0, 0, 0, 0.626474, 0, 0, 0.720696, 0, 0, 0.823149, 0.878528, 2.060862, 0, 0, 0, 0, 0, 0, 0, 1.398093, 1.026217, 1.330569, 1.447816, 0.81056, 1.122678, 0.0, 29.0]"
2002/11/11,"[0.0933523922764228, 0.200224, 0.247719, 0, 0, 0.361758, 0, 0, 0, 0, 0, 0, 0, 0, 0.575413, 0, 0, 0.686863, 0, 0, 0.818471, 0.89606, 2.767415, 0, 0, 0, 0, 0, 0, 0, 1.512452, 1.273551, 1.517327, 1.532286, 1.040414, 1.122678, 0.0, 12.0]"
2002/11/12,"[0.0933523922764228, 0.20642, 0.265747, 0, 0, 0.39671, 0, 0, 0, 0, 0, 0, 0, 0, 0.629241, 0, 0, 0.739263, 0, 0, 0.869888, 0.937071, 2.806614, 0, 0, 0, 0, 0, 0, 0, 1.527754, 1.197702, 1.496538, 1.564855, 0.958369, 1.122678, 0.0, 42.0]"
2002/11/26,"[0.0933523922764228, 0.163607, 0.199141, 0, 0, 0.265816, 0, 0, 0, 0, 0, 0, 0, 0, 0.378609, 0, 0, 0.435068, 0, 0, 0.493395, 0.526378, 1.471067, 0, 0, 0, 0, 0, 0, 0, 1.157723, 0.953733, 1.162374, 1.169728, 0.747699, 1.122678, 0.0, 35.0]"
2002/12/04,"[0.0933523922764228, 0.51801, 0.683082, 0, 0, 1.02013, 0, 0, 0, 0, 0, 0, 0, 0, 1.470491, 0, 0, 1.650184, 0, 0, 1.874342, 2.019084, 3.050843, 0, 0, 0, 0, 0, 0, 0, 1.436984, 1.046436, 1.333538, 1.490745, 0.881978, 1.122678, 0.0, 26.0]"
